patch_id,label,loss_percentage,tree_cover_percentage,loss_year,gain_percentage
patch_000127,1,21.4296,95.34,2005,0.0
patch_000128,1,91.3188,94.12,2005,0.0
patch_000129,1,88.0991,91.33,2004,0.0
patch_000130,1,86.4716,92.74,2002,0.0
patch_000132,1,75.9209,84.9,2002,0.2516
patch_000133,1,68.375,91.36,2006,0.0652
patch_000134,1,45.1386,89.95,2004,0.1192
patch_000135,1,45.657,91.87,2002,0.0953
patch_000136,1,38.8314,78.83,2002,0.0983
patch_000137,1,45.4945,90.8,2010,0.0715
patch_000138,1,49.9671,84.6,2009,0.0715
patch_000140,1,8.1219,74.46,2011,0.0238
patch_000143,1,2.9051,56.65,2002,0.0
patch_000145,1,1.3483,67.36,2022,0.0208
patch_000146,1,0.7627,68.03,2017,0.0
patch_000150,1,40.5807,86.65,2008,0.2052
patch_000151,1,27.7973,91.65,2018,1.0068
patch_000152,1,18.6184,83.67,2019,2.8039
patch_000153,1,31.2417,97.73,2024,0.0
patch_000154,1,20.4081,93.69,2019,0.1192
patch_000155,1,3.0499,98.38,2021,0.0
patch_000156,1,1.2538,98.65,2024,0.0
patch_000157,1,1.7627,97.98,2024,0.0
patch_000158,1,0.1192,97.52,2014,0.0
patch_000159,1,0.1907,96.01,2024,0.0
patch_000160,1,0.0477,95.61,2012,0.0
patch_000161,0,0.0,95.35,0,0.0
patch_000162,1,3.2219,97.78,2025,0.0
patch_000163,1,3.467,95.26,2011,0.739
patch_000164,1,21.1319,95.01,2016,0.0
patch_000165,1,12.2001,89.62,2004,0.3456
patch_000166,1,52.6083,78.87,2007,0.0715
patch_000168,1,45.2583,64.95,2002,0.0477
patch_000169,1,68.9862,88.23,2002,0.3784
patch_000172,1,4.2292,87.64,2020,1.0686
patch_000173,1,11.0968,61.72,2024,0.1669
patch_000178,1,2.0817,71.06,2021,0.0
patch_000179,1,7.4779,91.62,2008,0.286
patch_000180,1,40.7307,94.71,2008,0.9982
patch_000181,1,31.3298,70.61,2009,0.1669
patch_000182,1,8.873,58.54,2010,0.0
patch_000184,1,2.9837,47.82,2015,0.0
patch_000185,1,41.6084,79.59,2024,0.0
patch_000186,1,48.0142,74.35,2016,0.7628
patch_000187,1,53.754,70.24,2015,0.0477
patch_000188,1,26.1477,89.16,2004,0.0238
patch_000189,1,41.8455,65.96,2012,0.2384
patch_000190,1,42.5054,68.62,2024,0.2801
patch_000191,1,62.35,77.92,2024,0.0
patch_000192,1,79.5403,97.37,2020,0.0
patch_000194,1,19.5317,96.96,2025,0.4249
patch_000195,1,24.0048,94.17,2018,3.5531
patch_000196,1,29.1192,72.76,2013,6.7786
patch_000197,1,35.6584,61.15,2015,23.9764
patch_000200,1,25.8554,82.77,2019,0.0
patch_000201,1,4.2653,92.35,2019,0.0477
patch_000202,1,26.167,85.62,2022,0.0715
patch_000203,1,49.8097,95.48,2004,1.1125
patch_000204,1,58.3506,87.34,2004,5.1327
patch_000205,1,28.3242,94.94,2011,0.0
patch_000206,1,5.8159,85.86,2012,0.0685
patch_000207,1,6.57,81.05,2002,0.358
patch_000208,1,7.9172,73.52,2024,1.0954
patch_000209,1,5.7236,84.44,2025,0.3904
patch_000211,0,0.0,90.06,0,0.0
patch_000212,0,0.0,90.35,0,0.0
patch_000213,0,0.0,84.7,0,0.0
patch_000214,0,0.0,79.42,0,0.0
patch_000215,0,0.0,75.19,0,0.0
patch_000216,0,0.0,97.56,0,0.0
patch_000217,1,0.0477,98.98,2022,0.0
patch_000218,0,0.0,95.64,0,0.0
patch_000219,0,0.0,86.18,0,0.0
patch_000220,0,0.0,88.79,0,0.0
patch_000221,0,0.0,94.03,0,0.0
patch_000222,1,0.0477,77.42,2015,0.0
patch_000223,0,0.0,70.46,0,0.0
patch_000224,0,0.0,88.19,0,0.0
patch_000225,0,0.0,96.17,0,0.0
patch_000226,0,0.0,97.41,0,0.0
patch_000227,0,0.0,93.07,0,0.0
patch_000228,1,2.5984,85.71,2007,0.0
patch_000233,0,0.0,81.99,0,0.0
patch_000234,0,0.0,94.66,0,0.0
patch_000235,0,0.0,95.4,0,0.0
patch_000236,0,0.0,87.52,0,0.0
patch_000237,1,0.143,82.19,2017,0.0
patch_000238,1,0.0238,82.4,2002,0.0
patch_000239,1,0.0418,59.81,2005,0.0
patch_000245,1,1.6265,38.9,2025,0.0
patch_000250,1,7.9923,85.13,2021,0.0
patch_000251,1,0.9982,98.22,2021,0.0
patch_000252,1,0.2486,99.16,2010,0.0
patch_000253,1,3.7872,66.71,2024,0.0
patch_000256,1,74.8013,98.01,2025,0.0
patch_000257,1,24.0546,99.76,2025,0.0
patch_000258,0,0.0,99.92,0,0.0
patch_000259,1,0.0954,99.74,2017,0.0
patch_000260,0,0.0,99.42,0,0.0
patch_000261,1,0.0208,98.87,2013,0.0
patch_000262,0,0.0,98.11,0,0.0
patch_000264,0,0.0,99.95,0,0.0
patch_000265,0,0.0,99.95,0,0.0
patch_000267,1,0.1907,96.14,2025,0.0
patch_000268,1,0.1967,98.74,2012,0.0
patch_000270,1,0.8117,98.33,2025,0.0
patch_000271,1,7.9313,98.81,2025,0.0
patch_000272,1,14.9006,99.7,2024,0.0
patch_000273,1,5.5248,98.71,2025,0.0
patch_000274,1,22.8319,97.18,2024,0.0
patch_000275,1,17.7312,93.05,2024,0.0
patch_000276,1,29.2276,99.71,2025,0.0
patch_000277,1,32.6142,87.49,2024,0.0
patch_000279,1,21.0363,95.9,2024,0.0
patch_000280,1,13.0872,75.93,2023,0.0
patch_000281,1,13.9452,52.77,2024,0.0
patch_000283,1,8.773,49.98,2024,0.0
patch_000284,1,1.9702,46.38,2024,0.0
patch_000285,1,18.7179,76.68,2024,0.0
patch_000286,1,6.4467,78.77,2024,0.0
patch_000287,1,1.7282,62.75,2010,0.0
patch_000289,1,0.4285,95.66,2010,0.0
patch_000290,1,0.2145,83.55,2010,0.0
patch_000291,1,0.0715,94.27,2010,0.0
patch_000292,0,0.0,93.77,0,0.0
patch_000293,0,0.0,94.49,0,0.0
patch_000294,1,0.0238,95.46,2003,0.0
patch_000295,0,0.0,97.32,0,0.0
patch_000296,1,0.8582,98.51,2004,0.0
patch_000297,1,1.5725,98.69,2004,0.0
patch_000298,1,0.1986,99.17,2004,0.0
patch_000299,0,0.0,99.04,0,0.0
patch_000300,0,0.0,99.28,0,0.0
patch_000301,1,0.0715,99.73,2020,0.0
patch_000302,1,0.1156,99.49,2019,0.0
patch_000303,1,26.7386,97.81,2002,2.6431
patch_000305,1,62.8548,68.68,2004,3.4299
patch_000307,1,66.4746,79.09,2004,0.7062
patch_000308,1,28.1348,91.92,2016,0.5006
patch_000312,1,58.9936,67.82,2004,5.9544
patch_000313,1,3.9326,56.38,2019,0.7084
patch_000314,1,43.5162,72.0,2004,0.2384
patch_000316,1,25.5866,59.5,2001,0.0238
patch_000318,1,43.0641,66.91,2001,0.1799
patch_000319,1,34.9616,57.26,2004,0.033
patch_000320,1,35.4786,65.94,2002,0.0715
patch_000321,1,12.0203,98.19,2017,0.0
patch_000322,1,29.9209,97.05,2016,0.0
patch_000323,1,20.727,89.83,2002,0.0
patch_000324,1,71.5804,90.37,2008,0.0
patch_000325,1,55.9699,97.51,2004,0.003
patch_000326,1,19.4343,97.95,2005,0.4768
patch_000327,1,8.1234,98.22,2006,0.0
patch_000328,1,39.3866,98.63,2006,0.0238
patch_000329,1,60.7815,96.41,2004,2.5291
patch_000330,1,64.0738,73.37,2001,1.8067
patch_000331,1,87.5474,95.56,2006,0.1192
patch_000332,1,56.8503,77.46,2005,0.3099
patch_000333,1,84.8886,92.99,2004,0.0
patch_000334,1,68.9714,85.15,2004,0.0954
patch_000335,1,39.289,59.55,2004,0.1222
patch_000336,1,44.8983,53.23,2004,1.8931
patch_000337,1,65.2981,95.76,2004,1.7514
patch_000338,1,49.9466,71.26,2002,0.2622
patch_000339,1,5.9434,98.97,2018,0.0
patch_000340,1,1.1487,98.18,2017,0.0238
patch_000341,1,0.882,96.87,2007,0.0
patch_000342,1,0.8426,98.43,2014,0.0
patch_000343,1,9.2815,96.37,2022,0.3337
patch_000344,1,0.2384,97.32,2009,0.0
patch_000345,1,0.0238,97.58,2005,0.0
patch_000346,0,0.0,94.41,0,0.0
patch_000347,0,0.0,95.42,0,0.0
patch_000349,1,17.872,50.7,2017,0.2861
patch_000350,0,0.0,87.93,0,0.0
patch_000351,1,6.4817,73.67,2011,0.0715
patch_000352,0,0.0,95.7,0,0.0
patch_000353,1,21.9366,82.53,2019,0.0
patch_000354,1,33.7745,73.44,2019,0.0
patch_000355,1,29.9893,63.41,2003,0.0
patch_000356,1,88.4067,90.17,2009,0.0
patch_000357,1,86.4865,91.5,2004,0.0
patch_000358,1,82.1772,87.89,2004,0.0477
patch_000359,1,48.1695,54.22,2004,0.0715
patch_000361,1,57.6404,76.71,2002,0.0
patch_000362,1,67.6208,76.41,2004,0.0715
patch_000363,1,72.8035,73.23,2004,0.0
patch_000365,1,69.537,77.76,2002,0.4053
patch_000366,1,74.2739,73.94,2005,0.0
patch_000367,1,45.5252,92.04,2014,0.0
patch_000368,1,15.6494,97.94,2013,0.0
patch_000369,1,0.3153,93.46,2010,0.0
patch_000373,1,6.0577,57.94,2022,0.0268
patch_000375,1,0.0477,97.61,2001,0.1192
patch_000379,1,50.1914,95.04,2003,0.739
patch_000380,1,15.7085,89.08,2002,0.3099
patch_000381,1,18.9234,96.72,2017,0.3994
patch_000382,1,5.829,98.75,2020,0.0098
patch_000383,1,2.2305,98.87,2013,0.0
patch_000384,0,0.0,98.68,0,0.0
patch_000385,1,0.0238,97.95,2012,0.0
patch_000386,0,0.0,97.24,0,0.0
patch_000387,1,0.3337,97.89,2020,0.0
patch_000388,0,0.0,96.13,0,0.0
patch_000389,1,0.0238,95.2,2012,0.0
patch_000390,1,1.5461,97.8,2017,0.0
patch_000391,1,1.0743,94.81,2011,0.0
patch_000392,1,8.7785,83.58,2016,0.0
patch_000393,1,29.4161,56.21,2004,5.1373
patch_000394,1,20.2443,67.23,2001,0.3337
patch_000395,1,22.9438,63.82,2022,0.5006
patch_000396,1,22.6602,67.16,2016,0.0477
patch_000399,1,12.0772,73.6,2001,1.034
patch_000401,1,10.8056,60.16,2016,0.0715
patch_000405,1,24.1051,38.65,2020,0.0
patch_000406,1,75.1117,74.18,2020,0.0
patch_000407,1,37.3003,98.11,2008,0.2145
patch_000408,1,38.9104,98.21,2009,0.0507
patch_000409,1,28.5235,63.66,2009,0.0
patch_000411,1,83.5779,54.81,2016,0.0
patch_000412,1,18.7532,69.43,2009,0.0
patch_000413,1,6.5811,64.08,2010,0.0
patch_000414,1,24.9643,78.78,2007,0.0238
patch_000415,1,39.8621,80.42,2015,0.0238
patch_000416,1,50.8668,92.02,2010,0.0477
patch_000419,1,49.2527,64.75,2004,0.0732
patch_000420,1,77.5944,92.92,2023,0.0
patch_000421,1,67.3734,93.75,2023,0.0
patch_000422,1,62.0192,75.08,2024,0.0369
patch_000423,1,26.0788,93.54,2018,0.4772
patch_000424,1,38.0441,82.28,2025,3.2229
patch_000425,1,28.9283,85.28,2021,1.2877
patch_000426,1,12.5309,80.85,2019,0.0
patch_000427,1,24.2917,89.92,2019,0.0
patch_000428,1,61.8991,79.55,2019,0.0238
patch_000430,1,48.5075,77.18,2004,3.8875
patch_000431,1,29.5151,66.51,2021,3.8379
patch_000432,1,23.1734,80.7,2015,2.6995
patch_000433,1,49.2969,86.83,2020,0.0253
patch_000434,1,61.1591,87.78,2019,1.7745
patch_000435,1,49.7665,92.91,2002,0.6341
patch_000436,1,19.4107,91.91,2002,0.608
patch_000437,1,1.7689,92.93,2022,0.0
patch_000438,1,0.1005,86.84,2013,0.0
patch_000439,0,0.0,80.07,0,0.0
patch_000440,0,0.0,65.23,0,0.0
patch_000441,0,0.0,87.29,0,0.0
patch_000442,0,0.0,80.72,0,0.0
patch_000443,0,0.0,58.96,0,0.0
patch_000444,0,0.0,90.43,0,0.0
patch_000445,0,0.0,96.28,0,0.0
patch_000446,1,0.0238,67.89,2012,0.0
patch_000447,0,0.0,64.22,0,0.0
patch_000448,1,0.0207,91.0,2002,0.0
patch_000449,1,0.0578,81.53,2008,0.0
patch_000451,0,0.0,48.9,0,0.0
patch_000452,0,0.0,90.52,0,0.0
patch_000453,0,0.0,93.73,0,0.0
patch_000454,0,0.0,95.03,0,0.0
patch_000455,0,0.0,98.07,0,0.0
patch_000459,1,1.8148,92.93,2010,0.0
patch_000460,0,0.0,97.32,0,0.0
patch_000461,0,0.0,98.12,0,0.0
patch_000462,0,0.0,97.39,0,0.0
patch_000463,0,0.0,80.1,0,0.0
patch_000464,0,0.0,93.62,0,0.0
patch_000465,1,0.0954,97.1,2004,0.0
patch_000466,1,0.4768,62.47,2012,0.0
patch_000467,1,0.1699,38.91,2012,0.0
patch_000468,1,0.0477,53.35,2004,0.0
patch_000469,1,0.3039,51.04,2011,0.0
patch_000474,1,4.9545,62.95,2025,0.0
patch_000478,1,0.7153,58.44,2012,0.0
patch_000479,1,1.6718,96.87,2021,0.0
patch_000480,1,0.0238,99.66,2013,0.0
patch_000481,1,19.3753,63.19,2025,0.0
patch_000483,1,13.679,48.25,2024,0.0238
patch_000484,1,51.7441,91.37,2024,0.0
patch_000486,1,4.552,99.67,2025,0.0
patch_000487,1,0.5387,99.5,2017,0.0
patch_000488,0,0.0,99.34,0,0.0
patch_000489,1,0.0268,96.6,2007,0.0
patch_000490,0,0.0,99.69,0,0.0
patch_000491,0,0.0,99.95,0,0.0
patch_000492,0,0.0,99.79,0,0.0
patch_000493,0,0.0,99.87,0,0.0
patch_000494,0,0.0,99.95,0,0.0
patch_000495,0,0.0,99.95,0,0.0
patch_000496,1,0.0477,90.71,2012,0.0
patch_000497,1,10.7374,87.48,2025,0.0
patch_000498,1,23.2066,99.26,2025,0.0
patch_000499,1,49.3308,99.52,2024,0.0
patch_000500,1,18.1188,99.57,2024,0.0
patch_000501,1,5.2504,99.94,2025,0.0
patch_000502,1,3.0333,99.94,2025,0.0
patch_000503,1,10.7108,99.91,2025,0.0
patch_000504,1,4.3661,99.81,2025,0.0
patch_000505,1,8.1632,82.68,2024,0.0
patch_000506,1,2.2663,97.86,2024,0.0
patch_000507,1,12.894,98.93,2024,0.0
patch_000508,1,15.0359,78.26,2010,0.0
patch_000509,1,21.5334,77.92,2009,0.0
patch_000510,1,14.968,58.6,2003,0.0
patch_000511,1,12.8919,53.86,2003,0.0
patch_000512,1,5.5727,58.5,2003,0.0
patch_000513,1,4.5104,67.76,2020,0.0
patch_000514,1,7.445,86.72,2003,0.0
patch_000515,1,1.8653,61.58,2010,0.0
patch_000516,1,1.1832,59.35,2020,0.0
patch_000517,1,2.4555,89.89,2010,0.0
patch_000518,1,0.2146,84.05,2020,0.0
patch_000519,1,0.1907,93.55,2011,0.0
patch_000520,0,0.0,91.21,0,0.0
patch_000521,0,0.0,91.27,0,0.0
patch_000522,1,0.2536,95.09,2003,0.0
patch_000523,1,0.1174,96.81,2003,0.0
patch_000524,0,0.0,97.33,0,0.0
patch_000525,1,0.1954,98.35,2011,0.0
patch_000526,1,0.0497,98.01,2004,0.0
patch_000527,1,0.0208,94.85,2006,0.0
patch_000528,1,0.3576,93.38,2020,0.0
patch_000529,1,0.8582,97.27,2020,0.0
patch_000530,1,0.0238,99.55,2006,0.0
patch_000531,1,10.0267,92.19,2003,0.5264
patch_000535,1,37.5654,72.35,2003,0.9965
patch_000536,1,43.5874,96.61,2009,0.6139
patch_000538,1,33.7923,62.88,2002,2.8286
patch_000539,1,65.0965,83.76,2020,0.1222
patch_000540,1,54.2605,59.95,2002,1.3589
patch_000542,1,36.8283,71.13,2004,0.0954
patch_000543,1,50.6952,62.31,2006,0.0715
patch_000549,1,47.9397,61.41,2001,0.3973
patch_000550,1,43.8517,76.09,2004,0.1817
patch_000551,1,85.2532,89.18,2002,1.0936
patch_000553,1,25.7224,73.78,2002,0.0208
patch_000554,1,21.2522,88.94,2006,0.1907
patch_000557,1,60.5225,61.22,2004,0.1632
patch_000560,1,59.4837,75.43,2004,0.0238
patch_000561,1,66.3838,73.99,2017,0.1154
patch_000562,1,43.9264,56.58,2004,0.4368
patch_000563,1,49.0086,65.17,2002,0.5006
patch_000565,1,53.2291,70.57,2009,6.1679
patch_000567,1,8.6493,94.65,2019,0.0
patch_000568,1,0.1162,97.86,2022,0.0
patch_000569,1,0.4291,96.41,2017,0.0
patch_000570,1,18.6019,97.94,2021,0.0685
patch_000571,1,15.8902,92.45,2021,0.0477
patch_000572,1,0.8344,92.1,2018,0.0
patch_000573,1,0.0954,91.86,2009,0.0
patch_000574,1,0.0238,94.79,2012,0.0
patch_000575,1,1.4474,93.24,2023,0.0
patch_000578,1,1.1027,91.64,2012,0.0
patch_000579,1,16.3087,84.44,2006,0.2384
patch_000580,1,4.3054,96.9,2005,0.0
patch_000581,1,3.8846,96.35,2013,0.0
patch_000582,1,25.3684,79.43,2003,0.0
patch_000584,1,83.5098,87.12,2004,0.0
patch_000585,1,76.6115,93.45,2009,0.0715
patch_000586,1,86.0399,91.4,2004,0.0
patch_000587,1,74.9668,78.76,2003,0.0715
patch_000589,1,66.3833,66.69,2004,0.0238
patch_000590,1,85.1739,88.53,2004,0.0
patch_000591,1,65.9853,70.38,2004,0.0477
patch_000592,1,68.0321,64.86,2002,0.0
patch_000593,1,66.041,70.89,2002,0.0715
patch_000594,1,71.2001,75.29,2004,0.0
patch_000595,1,55.376,75.31,2010,0.0715
patch_000596,1,27.0042,94.88,2001,0.0
patch_000597,1,1.3997,89.75,2010,0.0
patch_000600,1,36.8056,89.59,2009,0.3576
patch_000601,1,37.8611,93.2,2005,0.0238
patch_000602,1,17.2149,92.83,2008,0.0238
patch_000603,0,0.0,98.73,0,0.0
patch_000604,1,36.1042,77.03,2002,0.0954
patch_000605,1,90.4088,92.16,2002,0.0328
patch_000606,1,85.5799,87.04,2002,0.0238
patch_000607,1,55.8486,59.41,2004,0.0477
patch_000609,1,9.6149,95.4,2020,0.0745
patch_000610,1,17.3249,96.97,2004,0.5483
patch_000611,1,0.3526,98.27,2006,0.0392
patch_000612,1,0.2146,97.15,2021,0.0
patch_000613,1,0.3099,97.6,2024,0.0
patch_000614,0,0.0,97.06,0,0.0
patch_000615,1,0.2146,98.15,2023,0.0
patch_000616,1,0.4291,96.14,2023,0.0
patch_000617,0,0.0,95.2,0,0.0
patch_000618,1,1.9042,97.41,2014,0.0
patch_000619,1,32.8554,95.62,2006,0.143
patch_000620,1,15.7365,92.18,2004,0.0
patch_000622,1,34.1109,69.06,2016,3.6601
patch_000623,1,37.2065,67.88,2019,1.2523
patch_000624,1,29.5845,72.3,2019,0.849
patch_000625,1,61.7957,70.72,2002,0.0477
patch_000628,1,39.9362,87.64,2016,0.596
patch_000629,1,19.2009,72.57,2002,0.6425
patch_000630,1,20.8715,75.18,2004,1.489
patch_000632,1,1.5525,77.93,2022,0.0
patch_000633,1,30.7652,89.77,2020,0.0715
patch_000634,1,99.3645,89.78,2020,0.0
patch_000635,1,62.7111,97.8,2019,0.1178
patch_000636,1,34.8549,99.24,2008,0.1821
patch_000637,1,20.4109,84.73,2009,0.0
patch_000638,1,44.1282,44.69,2016,0.0
patch_000639,1,65.0965,55.04,2017,0.0
patch_000640,1,3.6408,63.02,2025,0.0
patch_000641,1,40.9873,90.57,2010,0.0477
patch_000642,1,50.5374,91.36,2004,0.143
patch_000643,1,79.8528,74.19,2014,0.0
patch_000644,1,41.7945,91.26,2010,0.1192
patch_000647,1,40.0747,68.72,2018,0.0238
patch_000648,1,64.9492,91.56,2024,0.0238
patch_000649,1,74.2621,92.81,2023,0.0
patch_000650,1,44.444,63.96,2024,0.0
patch_000651,1,21.1375,94.26,2006,4.2734
patch_000652,1,52.2794,88.85,2006,4.9465
patch_000653,1,27.0262,82.26,2024,0.0
patch_000654,1,14.2341,78.36,2016,0.8791
patch_000655,1,26.3621,89.66,2018,0.0238
patch_000656,1,19.9568,90.06,2001,0.0
patch_000658,1,39.9325,65.91,2015,4.6305
patch_000659,1,36.1202,44.35,2007,1.2364
patch_000660,1,33.795,69.12,2020,2.2255
patch_000661,1,44.8537,78.9,2019,0.2831
patch_000662,1,14.7963,89.89,2020,0.0
patch_000663,1,41.4279,93.15,2003,1.7122
patch_000664,1,51.5506,88.29,2002,2.7854
patch_000665,1,18.4264,69.92,2019,0.0
patch_000666,1,3.7717,76.68,2016,0.0477
patch_000667,0,0.0,88.59,0,0.0
patch_000668,0,0.0,82.56,0,0.0
patch_000669,0,0.0,93.07,0,0.0
patch_000670,0,0.0,80.34,0,0.0
patch_000671,0,0.0,68.66,0,0.0
patch_000672,1,0.143,89.05,2025,0.0
patch_000673,0,0.0,90.87,0,0.0
patch_000674,0,0.0,78.45,0,0.0
patch_000675,0,0.0,80.35,0,0.0
patch_000676,0,0.0,96.93,0,0.0
patch_000677,0,0.0,61.01,0,0.0
patch_000679,0,0.0,83.73,0,0.0
patch_000680,0,0.0,86.49,0,0.0
patch_000681,0,0.0,91.21,0,0.0
patch_000682,1,0.0477,92.62,2012,0.0
patch_000683,0,0.0,92.01,0,0.0
patch_000687,0,0.0,80.84,0,0.0
patch_000688,0,0.0,94.87,0,0.0
patch_000689,0,0.0,96.59,0,0.0
patch_000690,0,0.0,90.3,0,0.0
patch_000691,1,0.0477,39.32,2003,0.0
patch_000692,0,0.0,79.76,0,0.0
patch_000693,0,0.0,97.4,0,0.0
patch_000694,1,8.1543,78.7,2011,0.0
patch_000695,1,0.0954,51.6,2010,0.0
patch_000696,1,0.6646,58.86,2006,0.0
patch_000697,1,1.1951,59.18,2025,0.0
patch_000698,1,2.1189,72.0,2025,0.0
patch_000699,1,0.0954,48.0,2011,0.0
patch_000703,1,3.2099,79.33,2021,0.0
patch_000704,0,0.0,53.68,0,0.0
patch_000705,1,14.6476,89.13,2021,0.0
patch_000706,1,0.8344,99.63,2017,0.0
patch_000707,0,0.0,99.89,0,0.0
patch_000708,0,0.0,99.88,0,0.0
patch_000709,1,14.4975,97.23,2025,0.0101
patch_000710,1,36.9262,82.49,2025,2.2378
patch_000711,1,5.4526,43.78,2023,0.0
patch_000712,1,20.4677,88.75,2025,0.0
patch_000713,1,3.3318,99.93,2025,0.0
patch_000714,0,0.0,99.96,0,0.0
patch_000715,0,0.0,99.88,0,0.0
patch_000716,0,0.0,99.82,0,0.0
patch_000717,0,0.0,99.84,0,0.0
patch_000718,0,0.0,99.89,0,0.0
patch_000719,0,0.0,99.88,0,0.0
patch_000720,0,0.0,99.97,0,0.0
patch_000721,0,0.0,99.96,0,0.0
patch_000722,0,0.0,99.98,0,0.0
patch_000723,0,0.0,99.93,0,0.0
patch_000724,0,0.0,99.96,0,0.0
patch_000725,1,2.8848,99.91,2024,0.0
patch_000726,1,17.1794,99.93,2025,0.0
patch_000727,1,16.4714,99.69,2025,0.0
patch_000728,1,9.4493,99.81,2025,0.0
patch_000729,1,7.4205,99.94,2025,0.0
patch_000730,0,0.0,99.77,0,0.0
patch_000731,0,0.0,99.92,0,0.0
patch_000732,0,0.0,99.92,0,0.0
patch_000733,1,0.1074,99.63,2010,0.0
patch_000734,1,0.1854,99.9,2006,0.0
